feature,importance
Avg_Cell_Voltage,0.8238174002180586
Pack_Current,0.14016487576831643
Charging_State_Encoded,0.009079628225829204
Power_kW,0.007904668236505458
Coolant_Flow_Rate,0.0017550532953865673
Pressure_Level,0.0016989269456740383
Air_Pressure_kPa,0.0015437191367721063
Max_Cell_Voltage,0.0014597006744822868
Internal_Resistance,0.0014472444711677544
Min_Cell_Voltage,0.0012857200738171654
Temperature_Gradient,0.0011202766196683211
Voltage_Imbalance,0.0010490600428080393
Max_Temperature,0.0010267595031499257
Humidity_Percent,0.0010018616119519203
Cycle_Count,0.0009989528201473116
Battery_Age_Months,0.0009105970031870413
Day_of_Week,0.0006881216866136956
Avg_Temperature,0.0006680879328335703
Min_Temperature,0.0006635561593671976
Month,0.0005739713693970479
Hour,0.0004112524769118978
Location_City_Encoded,0.00038221719899261385
Vehicle_Model_Encoded,0.0003483485289617729
